state,Population,MedianIncome,PovertyRate,NormalizedPovertyRate,Outlets,OutletDensity,flag_url
Johor,4028300,6879,4.6,0.234,40,0.992974704,images/Johor.png
Kedah,2163100,4402,9,0.457,10,0.462299478,images/Kedah.png
Kelantan,1830600,3614,13.2,0.670,6,0.32776139,images/Kelantan.png
Melaka,1008600,6210,4.2,0.213,12,1.189767995,images/Malacca.png
Negeri Sembilan,1207900,5226,4.4,0.223,16,1.324612965,images/Negeri_Sembilan.png
Pahang,1614300,4753,6.3,0.320,17,1.053088026,images/Pahang.png
Perak,2514400,4494,7.5,0.381,18,0.715876551,images/Perak.png
Perlis,289800,4713,4,0.203,1,0.345065562,images/Perlis.png
Pulau Pinang,1740900,6502,2,0.102,23,1.321155724,images/Penang.png
Sabah,3414900,4577,19.7,1.000,15,0.439251515,images/Sabah.png
Sarawak,2473500,4978,10.8,0.548,13,0.525571053,images/Sarawak.png
Selangor,7050300,9983,1.5,0.076,97,1.375827979,images/Selangor.png
Terengganu,1186600,5878,6.2,0.315,5,0.421371987,images/Terengganu.png
